File name: ../wordfreq/cityup/1.txt
這 23/2217 = 0.0103743797925
先生 23/2217 = 0.0103743797925
父親 23/2217 = 0.0103743797925
上 22/2217 = 0.00992331980153
人 22/2217 = 0.00992331980153
將 21/2217 = 0.00947225981055
對 20/2217 = 0.00902119981958
只是 20/2217 = 0.00902119981958
過 20/2217 = 0.00902119981958
被 19/2217 = 0.0085701398286
File name: ../wordfreq/9knife/16.txt
的 175/741 = 0.23616734143
了 66/741 = 0.0890688259109
我 53/741 = 0.0715249662618
在 51/741 = 0.0688259109312
棒 28/741 = 0.0377867746289
地 21/741 = 0.0283400809717
我們 20/741 = 0.0269905533063
老師 20/741 = 0.0269905533063
男 17/741 = 0.0229419703104
說 16/741 = 0.0215924426451
裏 16/741 = 0.0215924426451
要 15/741 = 0.0202429149798
上 15/741 = 0.0202429149798
不 15/741 = 0.0202429149798
那 14/741 = 0.0188933873144
也 14/741 = 0.0188933873144
跟 14/741 = 0.0188933873144
都 14/741 = 0.0188933873144
還 12/741 = 0.0161943319838
將 12/741 = 0.0161943319838
把 12/741 = 0.0161943319838
刀 11/741 = 0.0148448043185
就 11/741 = 0.0148448043185
人 11/741 = 0.0148448043185
你 11/741 = 0.0148448043185
很 10/741 = 0.0134952766532
看 10/741 = 0.0134952766532
喔 10/741 = 0.0134952766532
來 10/741 = 0.0134952766532
沒有 10/741 = 0.0134952766532
File name: ../wordfreq/9knife/17.txt
的 751/4038 = 0.18598315998
我 196/4038 = 0.048538880634
了 195/4038 = 0.0482912332838
你 186/4038 = 0.0460624071322
在 176/4038 = 0.0435859336305
地 105/4038 = 0.0260029717682
自己 82/4038 = 0.0203070827142
就 82/4038 = 0.0203070827142
說 80/4038 = 0.0198117880139
也 76/4038 = 0.0188211986132
人 68/4038 = 0.0168400198118
不 67/4038 = 0.0165923724616
這 64/4038 = 0.0158494304111
裏 63/4038 = 0.0156017830609
都 60/4038 = 0.0148588410104
什麼 53/4038 = 0.0131253095592
有 51/4038 = 0.0126300148588
會 50/4038 = 0.0123823675087
被 49/4038 = 0.0121347201585
將 48/4038 = 0.0118870728083
男 44/4038 = 0.0108964834076
沒有 39/4038 = 0.00965824665676
很 37/4038 = 0.00916295195641
上 36/4038 = 0.00891530460624
中 35/4038 = 0.00866765725607
要 34/4038 = 0.00842000990589
吧 34/4038 = 0.00842000990589
我們 34/4038 = 0.00842000990589
跟 34/4038 = 0.00842000990589
又 34/4038 = 0.00842000990589
File name: ../wordfreq/9knife/18.txt
的 169/738 = 0.228997289973
我 79/738 = 0.107046070461
了 48/738 = 0.0650406504065
棒 35/738 = 0.0474254742547
在 31/738 = 0.0420054200542
上 24/738 = 0.0325203252033
地 23/738 = 0.0311653116531
都 23/738 = 0.0311653116531
說 18/738 = 0.0243902439024
你 18/738 = 0.0243902439024
就 17/738 = 0.0230352303523
跟 17/738 = 0.0230352303523
有 16/738 = 0.0216802168022
人 16/738 = 0.0216802168022
我們 16/738 = 0.0216802168022
也 15/738 = 0.020325203252
不 13/738 = 0.0176151761518
後 13/738 = 0.0176151761518
又 13/738 = 0.0176151761518
好 13/738 = 0.0176151761518
要 12/738 = 0.0162601626016
最 12/738 = 0.0162601626016
還 11/738 = 0.0149051490515
看 11/738 = 0.0149051490515
會 10/738 = 0.0135501355014
到 10/738 = 0.0135501355014
沒有 10/738 = 0.0135501355014
這 9/738 = 0.0121951219512
朋友 9/738 = 0.0121951219512
個 9/738 = 0.0121951219512
File name: ../wordfreq/9knife/19.txt
的 1006/6395 = 0.157310398749
該 330/6395 = 0.051602814699
邊 325/6395 = 0.0508209538702
我 264/6395 = 0.0412822517592
了 214/6395 = 0.0334636434715
在 213/6395 = 0.0333072713057
你 181/6395 = 0.0283033620016
大 131/6395 = 0.0204847537138
也 128/6395 = 0.0200156372166
不 114/6395 = 0.017826426896
這 110/6395 = 0.017200938233
說 99/6395 = 0.0154808444097
就 98/6395 = 0.0153244722439
有 94/6395 = 0.0146989835809
裏 85/6395 = 0.0132916340891
自己 78/6395 = 0.0121970289289
什麼 78/6395 = 0.0121970289289
地 77/6395 = 0.0120406567631
上 73/6395 = 0.0114151681001
都 72/6395 = 0.0112587959343
我們 63/6395 = 0.00985144644253
人 63/6395 = 0.00985144644253
沒有 59/6395 = 0.00922595777952
又 56/6395 = 0.00875684128225
會 55/6395 = 0.0086004691165
被 52/6395 = 0.00813135261923
將 50/6395 = 0.00781860828772
要 47/6395 = 0.00734949179046
到 47/6395 = 0.00734949179046
為 47/6395 = 0.00734949179046
File name: ../wordfreq/9knife/20.txt
的 3395/21596 = 0.15720503797
我 879/21596 = 0.0407019818485
了 865/21596 = 0.0400537136507
你 710/21596 = 0.0328764586034
在 593/21596 = 0.0274587886646
說 559/21596 = 0.0258844230413
也 372/21596 = 0.0172254121134
地 362/21596 = 0.0167623634006
就 259/21596 = 0.0119929616596
上 253/21596 = 0.0117151324319
不 249/21596 = 0.0115299129468
人 228/21596 = 0.0105575106501
跟 225/21596 = 0.0104185960363
這 218/21596 = 0.0100944619374
自己 214/21596 = 0.00990924245231
將 200/21596 = 0.00926097425449
先生 186/21596 = 0.00861270605668
有 180/21596 = 0.00833487682904
都 179/21596 = 0.00828857195777
要 169/21596 = 0.00782552324505
吧 167/21596 = 0.0077329135025
會 166/21596 = 0.00768660863123
很 163/21596 = 0.00754769401741
被 162/21596 = 0.00750138914614
沒有 151/21596 = 0.00699203556214
一 150/21596 = 0.00694573069087
中 149/21596 = 0.0068994258196
道 145/21596 = 0.00671420633451
那 140/21596 = 0.00648268197814
又 133/21596 = 0.00615854787924
File name: ../wordfreq/9knife/21.txt
的 4654/34127 = 0.136372959827
我 3702/34127 = 0.108477158848
了 1473/34127 = 0.0431623055059
在 1034/34127 = 0.0302985905588
說 897/34127 = 0.0262841738213
你 840/34127 = 0.02461394204
地 524/34127 = 0.0153544114631
跟 511/34127 = 0.0149734814077
也 500/34127 = 0.0146511559762
就 435/34127 = 0.0127465056993
不 371/34127 = 0.0108711577343
人 344/34127 = 0.0100799953116
都 311/34127 = 0.0091130190172
要 309/34127 = 0.0090544143933
那 301/34127 = 0.00881999589768
這 295/34127 = 0.00864418202596
上 281/34127 = 0.00823394965863
有 248/34127 = 0.0072669733642
什麼 245/34127 = 0.00717906642834
一 245/34127 = 0.00717906642834
我們 244/34127 = 0.00714976411639
會 227/34127 = 0.0066516248132
中 223/34127 = 0.00653441556539
被 221/34127 = 0.00647581094148
沒有 218/34127 = 0.00638790400563
又 200/34127 = 0.00586046239048
大 198/34127 = 0.00580185776658
將 198/34127 = 0.00580185776658
裏 187/34127 = 0.0054795323351
到 183/34127 = 0.00536232308729
File name: ../wordfreq/9knife/22.txt
的 103/397 = 0.259445843829
老師 40/397 = 0.100755667506
我 39/397 = 0.0982367758186
了 35/397 = 0.088161209068
在 24/397 = 0.0604534005038
